Layer,Neuron,W1,W2,W3,W4,W5,W6,b
H1,1,2.73557,2.64499,,,,,-0.352364
H1,2,5.11421,-2.25986,,,,,-1.33904
H1,3,-16.2781,2.26573,,,,,0.104476
H1,4,-65.4931,3.18738,,,,,0.311633
H1,5,-0.00417988,-32.9903,,,,,0.362238
H1,6,1.39407,5.25295,,,,,0.272993
H2,1,2.1978,-1.79252,-1.34743,-3.97452,-3.32375,2.08215,0.908887
H2,2,-1.68413,1.00796,-0.733703,-5.93717,3.92894,0.0124957,0.64424
H2,3,0.355389,0.376128,-0.638527,-1.61517,0.178478,-6.01515,0.11135
H2,4,0.0700334,-1.89879,-3.7045,-6.08076,0.173881,-0.0599435,0.692237
H2,5,-0.160334,-0.29722,-0.480189,-1.71732,9.04647,1.39265,-1.76
H2,6,-3.15146,-0.187903,-0.752068,8.3206,1.25655,-3.33054,-0.599367
Output,1,0.728342,-0.546382,4.58204,0.307055,-1.36092,-1.75644,-2.66381
