Layer,Neuron,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,b
H1,1,12.5131,-10.2541,-4.02973,0.393896,,,,,,,,,2.84832
H1,2,3.6769,-1.91066,-1.47247,-1.0902,,,,,,,,,-2.44515
H1,3,-10.8746,6.57953,2.64377,-0.180344,,,,,,,,,-0.53897
H1,4,7.1113,-16.1918,0.27815,-0.570769,,,,,,,,,-3.7824
H1,5,8.55208,-17.6565,-0.238536,-0.389398,,,,,,,,,-0.69316
H1,6,10.0014,-3.79429,-3.58163,-0.304062,,,,,,,,,-1.09268
H1,7,8.51929,-9.84132,-3.34589,-0.0111091,,,,,,,,,-0.814522
H1,8,9.23825,-3.12023,-5.15332,-0.0991998,,,,,,,,,-0.350982
H1,9,-12.845,7.93363,0.518029,0.00666173,,,,,,,,,0.639581
H1,10,-13.7102,1.86828,-6.11893,-0.0455241,,,,,,,,,-0.606886
H1,11,-10.8004,8.71366,4.2164,-0.253849,,,,,,,,,-2.5835
H1,12,-5.72661,3.68443,-1.02278,-7.33618,,,,,,,,,-3.44677
H2,1,0.421101,2.2826,-1.51934,5.48959,29.7043,0.920891,30.6273,-0.719613,0.298354,-3.00696,1.39428,0.685662,-4.37633
H2,2,-2.39267,-3.03344,-18.4872,-6.10552,-1.23695,0.971781,-0.238938,-4.89207,3.44488,-2.43273,-0.35485,-3.46648,-5.15773
H2,3,-2.96412,4.85175,-4.47321,-5.70402,6.19498,-5.27092,11.6913,-3.29784,2.26844,13.7784,2.03992,3.72878,-1.95469
H2,4,-0.239644,2.86037,-2.19963,-5.76142,2.88534,0.200066,24.1297,-0.174125,0.463897,20.6859,-0.872553,-1.87564,-4.21444
H2,5,0.437234,-1.37544,0.169169,-4.55888,-2.22229,0.13637,-2.7058,-0.0227677,-0.307844,0.74764,-0.289117,0.647555,-0.577488
H2,6,-7.0036,0.455119,0.487648,5.387,11.823,-1.07586,0.983069,-1.53508,3.00607,-8.86662,4.24596,-4.95752,-0.348559
H2,7,-0.23144,-8.97997,-0.0606467,1.80621,-0.732468,0.145491,0.327234,-0.176067,0.00267395,-0.144683,0.478013,-0.399796,-1.13718
H2,8,-0.791869,9.97474,1.93866,-3.87828,-6.38319,-6.79252,-18.7284,1.89276,-1.23794,-2.36431,-0.958372,1.91007,-6.50481
H2,9,0.147191,0.758046,0.942078,11.0277,2.38555,-1.01519,-6.52516,0.0476067,-0.147149,-1.47344,-2.40691,-0.476854,-6.8378
H2,10,-0.145405,-2.12396,1.62278,-0.363104,-0.887802,-0.801183,-12.024,0.458608,-0.51945,0.62589,-1.38574,0.687766,-4.70158
H2,11,0.652798,19.5524,1.95454,7.23689,5.37586,3.01244,14.5295,-2.22303,0.251125,-2.84488,0.176622,-6.76973,-4.17102
H2,12,0.82956,34.9659,0.449428,4.07812,-2.1698,0.0425656,3.11276,0.0191045,-0.326547,-0.686883,-0.366156,-5.07865,-1.85414
Output,1,2.85783,-0.104304,0.0483643,-6.54296,2.27024,-0.0511795,0.16876,4.89704,-2.42348,0.190794,10.0895,-0.610253,-0.0641693
Output,2,-13.0376,0.0566591,-0.0125516,-8.36489,-0.123795,0.00963254,0.239272,5.28091,10.3426,6.68189,0.0621177,2.11991,-0.262154
Output,3,2.96965,-9.57171,-6.63785,0.428612,10.2291,-17.7188,0.161943,-2.38986,-2.37029,-6.55179,3.10916,-1.73918,5.32515
Output,4,0.40484,0.0194747,0.029649,2.23405,0.227695,-0.016887,-2.27508,0.883398,-4.75894,0.724699,0.115736,-18.7014,-0.337716
